,fCHL μgL WS HR mean,fCHL μgL EXO HR mean,fCHL μgL EXO HR median,NO3 uM SUNA HR mean,CL_ID,Location,Latitude,Longitude,USGS_Stati,Station_ID,USGS_Sta_1,DigitalLat,DigitalLon,Subregions
119,8.593084715,4.510035342,4.524188732,1.111170562,A3503,San Joaquin River,38.031002,-121.726972, , ,,,,Western Delta Tidal Zone
120,9.340227872,5.635279716,5.308918784,1.08260235,A3504,San Joaquin River,38.029818,-121.728409, , ,,,,Western Delta Tidal Zone
121,9.414084172,5.698935436,5.321640851,1.053516058,A3505,San Joaquin River,38.02927,-121.729979, , ,,,,Western Delta Tidal Zone
122,9.169552754,5.718558627,5.042854295,1.026082875,A3506,San Joaquin River,38.028184,-121.731434, , ,,,,Western Delta Tidal Zone
123,9.456915012,5.964699932,4.81518643,1.093749635,A3507,San Joaquin River,38.027358,-121.733119, , ,,,,Western Delta Tidal Zone
124,10.18738648,6.726698996,8.057088326,1.158384375,A3508,San Joaquin River,38.027198,-121.734953, , ,,,,Western Delta Tidal Zone
125,10.01755582,6.283803947,5.229345141,1.094718562,A3509,San Joaquin River,38.026845,-121.736756, , ,,,,Western Delta Tidal Zone
126,10.34342001,6.422874078,5.931455709,1.033053968,A3510,San Joaquin River,38.026522,-121.738533, , ,,,,Western Delta Tidal Zone
127,10.75224906,6.642185123,6.529051559,1.02914706,A3511,San Joaquin River,38.025728,-121.740309, , ,,,,Western Delta Tidal Zone
128,10.98536115,6.739122007,6.721891292,1.023064038,A3512,San Joaquin River,38.025079,-121.742142, , ,,,,Western Delta Tidal Zone
129,11.29307499,6.658193733,6.979055619,1.15444275,A3513,San Joaquin River,38.024925,-121.744021, , ,,,,Western Delta Tidal Zone
130,11.34244244,6.580269079,6.00675139,1.204299692,A3514,San Joaquin River,38.02503,-121.745857, , ,,,,Western Delta Tidal Zone
131,11.50262194,6.967205304,6.786813623,1.214881,A3515,San Joaquin River,38.024716,-121.747641, , ,,,,Western Delta Tidal Zone
132,11.83818577,7.222853106,6.976502855,1.340872385,A3516,San Joaquin River,38.024597,-121.749547, , ,,,,Western Delta Tidal Zone
133,11.85621134,7.52423556,6.823990806,1.49748066,A3517,San Joaquin River,38.024423,-121.751483, , ,,,,Western Delta Tidal Zone
134,11.81597393,7.381323819,6.710343458,1.371878077,A3518,San Joaquin River,38.023386,-121.753382, , ,,,,Western Delta Tidal Zone
135,11.9115818,6.973881656,6.985148877,1.398468056,A3519,San Joaquin River,38.024201,-121.75529, , ,,,,Western Delta Tidal Zone
136,12.05124461,7.42803565,6.985148877,1.435365923,A3520,San Joaquin River,38.024025,-121.757202, , ,,,,Western Delta Tidal Zone
137,12.15722443,7.335179443,7.034556395,1.483904596,A3521,San Joaquin River,38.025109,-121.759049, , ,,,,Western Delta Tidal Zone
138,11.73266725,7.091985217,7.065999172,1.591756293,A3522,San Joaquin River,38.024911,-121.76085, , ,,,,Western Delta Tidal Zone
139,11.6685757,6.984741749,6.96960697,1.57876725,A3523,San Joaquin River,38.024869,-121.762577, , ,,,,Western Delta Tidal Zone
140,11.86113181,7.622948415,7.623951837,1.339765038,A3524,San Joaquin River,38.025498,-121.764464, , ,,,,Western Delta Tidal Zone
141,12.17398946,7.360934129,7.364521245,1.430198308,A3525,San Joaquin River,38.025199,-121.766073, , ,,,,Western Delta Tidal Zone
142,12.0924237,7.18801285,7.160354432,1.449425864,A3526,San Joaquin River,38.0289,-121.7684, , ,,,,Western Delta Tidal Zone
