Station ID,Station Name,State ,Date,Time,Sample Type,Data qualifiers for Total  microcystins plus nodularins,Total microcystins plus nodularins (ug/L),Data qualifiers for Total cylindrospermopsins,Total cylindrospermopsins (ug/L),Data qualifiers for Total saxitoxins,Total saxitoxins (ug/L),Data qualifiers for Anatoxin-a (method IMM24),Anatoxin-a (method IMM24) (ug/L),Chlorophyll-a (ug/L),Pheophytin-a (ug/L),Data qualifiers for Anatoxin-a gene anaC,Anatoxin-a gene anaC (cp/100 mL),Data qualifiers for Saxitoxin gene sxtA,Saxitoxin gene sxtA (cp/100 mL),Data qualifiers for Cylindrospermopsin gene cyrA,Cylindrospermopsin gene cyrA (cp/100 mL),Data qualifiers for Microcystis mcyE toxin gene,Microcystis mcyE toxin gene (cp/100 mL),Data qualifiers for  Dolichospermum mcyE toxin gene, Dolichospermum mcyE toxin gene (cp/100 mL) ,Data qualifiers for Planktothrix mcyE toxin gene,Planktothrix mcyE toxin gene (cp/100 mL),Data qualifiers for Anatoxin-a (method LCM78),Anatoxin-a (method LCM78) (ug/L),Data qualifiers for Cylindrospermopsin,Cylindrospermopsin (ug/L),Data qualifiers for Domoic acid,Domoic acid (ug/L),Data qualifiers for Microcystin-HiLR,Microcystin-HiLR (ug/L),Data qualifiers for Microcystin-HtYR,Microcystin- HtYR (ug/L),Data qualifiers for Microcystin-LA,Microcystin-LA (ug/L),Data qualifiers for Microcystin-LF,Microcystin-LF (ug/L),Data qualifiers for Microcystin-LR,Microcystin-LR (ug/L),Data qualifiers for Microcystin-LW,Microcystin-LW (ug/L),Data qualifiers for Microcystin-LY,Microcystin-LY (ug/L),Data qualifiers for Microcystin-RR,Microcystin-RR (ug/L),Data qualifiers for Microcystin-WR,Microcystin-WR (ug/L),Data qualifiers for Microcystin-YR,Microcystin-YR (ug/L),Data qualifiers for Nodularin,Nodularin (ug/L)
08057410,"Trinity River below Dallas, TX",TX,9/5/2017,10:40,Regular,<,0.10,<,0.05,<,0.02,<,0.15,30.4,10.2,<,"3,800",<,840,<,"1,900",<,780,<,"2,800",<,"6,100",,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM
08057410,"Trinity River below Dallas, TX",TX,9/19/2017,11:00,Regular,<,0.10,<,0.05,<,0.02,<,0.15,19.7,7.60,<,"1,900",<,840,<,"1,900",<,780,<,"2,800",<,"3,100",,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM
11447650,"Sacramento River at Freeport, CA",CA,6/22/2017,11:30,Regular,<,0.10,<,0.05,<,0.02,<,0.15,4.10,1.80,<,960,E,920,<,930,<,390,<,"1,400",<,"1,500",,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM
11447650,"Sacramento River at Freeport, CA",CA,7/20/2017,9:30,Regular,<,0.10,<,0.05,<,0.02,<,0.15,4.80,2.80,<,"1,300",E,970,,"4,300",<,520,<,"1,800",<,"2,000",,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM
11447650,"Sacramento River at Freeport, CA",CA,8/21/2017,9:40,Regular,<,0.10,<,0.05,<,0.02,<,0.15,NM,NM,<,"1,300",<,560,E,"1,500",<,520,<,"1,800",<,"2,000",,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM
11447650,"Sacramento River at Freeport, CA",CA,8/21/2017,9:41,Field Replicate,<,0.10,<,0.05,<,0.02,<,0.15,NM,NM,<,"1,300",E,"1,300",<,"1,200",<,520,<,"1,800",<,"2,000",,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM
11447650,"Sacramento River at Freeport, CA",CA,9/5/2017,11:30,Regular,<,0.10,<,0.05,<,0.02,<,0.15,3.50,2.40,<,960,<,420,<,930,<,390,<,"1,400",<,"1,500",,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM
14211720,"Willamette River at Portland, OR",OR,6/21/2017,11:00,Regular,<,0.10,<,0.05,<,0.02,<,0.15,3.00,1.70,<,960,<,420,,"4,400",<,390,<,"1,400",<,"1,500",<,0.08,<,0.10,<,0.10,<,0.10,<,0.10,<,0.10,<,0.10,<,0.10,<,0.10,<,0.10,<,0.08,<,0.30,<,0.10,<,0.05
14211720,"Willamette River at Portland, OR",OR,7/11/2017,11:50,Regular,<,0.10,<,0.05,<,0.02,<,0.15,6.10,1.90,<,960,<,420,,"3,800",<,390,<,"1,400",<,"1,500",,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM
14211720,"Willamette River at Portland, OR",OR,7/11/2017,NA,Laboratory Replicate,,NM,,NM,,NM,,NM,NM,NM,<,960,<,420,<,930,<,390,<,"1,400",<,390,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM
