CL ID	"Latitude (Decimal Degrees, NAD83)"	"Longitude (Decimal Degrees, NAD83)"	Regions	Location	"Time Period (Month, Year)"	NO3 (uM) (SUNA) SA	NH4 (uM) (Tline) SA	Temp (deg. C) (EXO) SA	Sp Cond (uS/cm) (EXO) SA	pH (EXO) SA	DO (mg/L) (EXO) SA	DO (%sat) (EXO) SA	Turb (FNU) (EXO) SA	fCHL (ug/L) (EXO) SA	fDOM (QSU) (EXO) SA	fCHL (ug/L) (WS) SA	fDOM (QSU) (WS) SA	Temp (deg. C) (TSG) SA	Cond (uS/cm) (TSG) SA	Salinity (PSU) (TSG) SA	Green Algae (ug/L) (FP) SA	Bluegreen (ug/L) (FP) SA	Diatoms (ug/L) (FP) SA	Cryptophyta (ug/L) (FP) SA	Total Conc (ug/L) (FP) SA	Green Algae (%) (FP) SA	Bluegreen (%) (FP) SA	Diatoms (%) (FP) SA	Cryptophyta (%) (FP) SA	estDIN (uM) SA	Orthophosphate (uM) SA
A4958	38.050698	-121.534468	Central Delta tidal zone	Mandeville Reach	7/1/2020	6.38	0.57	23.23	206.58	8.20	8.64	101.27	3.42	5.62	24.59	11.07	27.86	23.27	198.58	0.10	0.28	6.51	7.37	0.00	14.29	1.84	44.86	51.42	0.01	6.96	1.61
A4921	38.050176	-121.632503	Central Delta tidal zone	False River	7/1/2020	6.29	0.26	22.63	530.83	8.22	8.54	98.92	3.44	1.69	19.33	3.50	21.13	22.69	507.70	0.26	0.85	4.14	1.39	0.00	6.40	13.33	64.54	14.55	0.07	5.89	2.04
A3683	38.050574	-121.506271	Central Delta tidal zone	San Joaquin River	7/1/2020	6.37	0.41	23.38	200.75	8.14	8.53	100.16	3.33	5.30	26.62	9.49	29.84	23.42	193.21	0.10	0.37	5.71	6.33	0.00	12.36	2.98	46.16	51.21	0.00	6.87	1.83
A4973	38.051443	-121.519943	Central Delta tidal zone	Three River Reach	7/1/2020	6.58	0.40	23.22	208.75	8.20	8.62	100.82	3.44	4.61	24.31	8.93	27.05	23.22	202.89	0.10	0.06	5.85	6.03	0.00	12.00	0.54	48.82	50.20	0.00	7.00	1.65
A4925	38.051982	-121.625794	Central Delta tidal zone	False River	7/1/2020	5.70	0.24	22.72	515.72	8.29	8.67	100.71	2.97	1.66	19.46	3.41	21.26	22.80	495.84	0.25	0.79	4.12	1.44	0.01	6.37	12.35	64.90	21.73	0.19	5.41	2.04
A4400	38.052576	-121.581415	Central Delta tidal zone	Old River	7/1/2020	2.42	0.00	23.19	382.56	8.87	8.71	102.06	2.78	2.00	20.54	3.80	22.46	23.24	366.66	0.18	1.06	3.71	1.65	0.01	6.48	16.48	57.55	25.13	0.18	2.50	1.98
A4919	38.051979	-121.635222	Central Delta tidal zone	False River	7/1/2020	6.42	0.28	22.68	530.07	8.26	8.66	100.41	3.23	1.68	19.30	3.44	21.08	22.75	506.99	0.26	0.82	4.12	1.41	0.01	6.37	12.89	64.64	19.44	0.08	6.20	2.03
A3681	38.052542	-121.508767	Central Delta tidal zone	San Joaquin River	7/1/2020	6.44	0.51	23.31	203.08	8.16	8.54	100.21	3.30	5.38	26.11	9.55	29.15	23.35	194.66	0.10	0.33	5.89	6.46	0.00	12.66	2.64	46.47	50.95	0.00	7.05	1.79
A4956	38.053606	-121.534529	Central Delta tidal zone	Mandeville Reach	7/1/2020	6.48	0.58	23.21	206.96	8.20	8.63	101.09	3.41	5.52	24.49	10.97	27.75	23.24	198.71	0.10	0.24	6.31	7.30	0.00	13.96	1.63	44.57	52.22	0.01	7.05	1.62
A3679	38.053310	-121.512328	Central Delta tidal zone	San Joaquin River	7/1/2020	6.64	0.46	23.24	206.90	8.18	8.55	100.18	3.29	5.04	25.12	9.28	28.10	23.27	198.46	0.10	0.22	5.94	6.28	0.00	12.46	1.74	47.72	50.40	0.00	7.10	1.74
A4917	38.053814	-121.637760	Central Delta tidal zone	False River	7/1/2020	6.46	0.30	22.76	527.76	8.33	8.85	102.79	2.93	1.68	19.29	3.41	21.06	22.83	505.67	0.26	0.80	4.18	1.45	0.01	6.43	12.41	64.89	22.79	0.10	6.53	2.02
A3675	38.054185	-121.518760	Central Delta tidal zone	San Joaquin River	7/1/2020	6.67	0.34	23.15	210.91	8.20	8.60	100.55	3.52	4.38	23.85	8.79	26.47	23.17	204.41	0.10	0.07	5.86	5.84	0.00	11.81	0.58	49.57	49.39	0.00	7.01	1.66
A3677	38.054072	-121.515773	Central Delta tidal zone	San Joaquin River	7/1/2020	6.70	0.46	23.18	210.03	8.19	8.56	100.14	3.35	4.58	24.34	8.93	27.14	23.20	201.49	0.10	0.14	5.99	5.98	0.00	12.16	1.18	49.27	49.16	0.00	7.17	1.71
A3673	38.053894	-121.522612	Central Delta tidal zone	San Joaquin River	7/1/2020	6.59	0.35	23.21	207.62	8.22	8.65	101.29	3.47	4.91	24.29	9.40	26.94	23.20	202.57	0.10	0.10	5.95	6.34	0.00	12.44	0.79	47.88	50.87	0.00	6.94	1.64
A3671	38.051694	-121.526450	Central Delta tidal zone	San Joaquin River	7/1/2020	6.45	0.51	23.32	203.54	8.22	8.69	101.98	3.33	5.34	25.10	10.14	28.11	23.32	198.44	0.10	0.12	6.35	6.99	0.00	13.53	0.86	47.01	51.62	0.01	6.97	1.61
A4915	38.054276	-121.641373	Central Delta tidal zone	False River	7/1/2020	6.38	0.31	22.84	529.49	8.43	9.14	106.37	2.64	1.70	19.32	3.43	21.14	22.91	508.37	0.26	0.81	4.21	1.49	0.00	6.52	12.43	64.56	22.65	0.02	6.78	2.01
A4927	38.054858	-121.624736	Central Delta tidal zone	False River	7/1/2020	5.65	0.25	22.72	514.27	8.29	8.68	100.79	2.90	1.64	19.47	3.35	21.27	22.80	495.03	0.25	0.76	4.06	1.41	0.01	6.24	12.08	65.26	22.65	0.16	5.53	2.04
A3669	38.052219	-121.530202	Central Delta tidal zone	San Joaquin River	7/1/2020	6.41	0.53	23.31	202.84	8.20	8.67	101.69	3.32	5.67	25.28	11.23	28.44	23.32	196.76	0.10	0.22	6.47	7.57	0.00	14.33	1.45	45.31	52.79	0.00	6.94	1.61
A4398	38.055418	-121.581818	Central Delta tidal zone	Old River	7/1/2020	2.52	0.00	23.18	379.74	8.86	8.71	102.00	2.81	1.98	20.63	3.79	22.58	23.23	365.07	0.18	1.03	3.72	1.65	0.01	6.47	16.23	57.94	24.88	0.22	2.62	1.96
A4910	38.055493	-121.650143	Central Delta tidal zone	False River	7/1/2020	6.84	0.29	22.85	533.39	8.46	9.17	106.68	2.68	1.75	19.23	3.52	21.09	22.91	513.11	0.26	0.90	4.34	1.58	0.01	6.87	13.02	63.21	23.11	0.08	7.10	2.00
A4913	38.055259	-121.644827	Central Delta tidal zone	False River	7/1/2020	6.56	0.31	22.87	531.41	8.48	9.25	107.65	2.60	1.73	19.30	3.48	21.16	22.93	510.66	0.26	0.84	4.24	1.54	0.00	6.64	12.60	63.90	23.23	0.00	6.97	2.01
A4906	38.056476	-121.655833	Central Delta tidal zone	False River	7/1/2020	7.16	0.28	22.79	539.08	8.37	8.96	104.16	3.00	1.80	19.13	3.68	20.87	22.85	518.97	0.26	0.94	4.43	1.64	0.01	7.04	13.40	63.01	23.24	0.12	7.40	2.00
A4900	38.056458	-121.666885	Central Delta tidal zone	False River	7/1/2020	7.22	0.24	22.70	551.69	8.38	8.95	103.89	3.12	1.77	19.22	3.70	20.96	22.75	532.69	0.27	0.80	4.55	1.65	0.01	7.04	11.36	64.68	23.43	0.21	7.45	2.01
A4902	38.056514	-121.663273	Central Delta tidal zone	False River	7/1/2020	7.13	0.24	22.73	545.24	8.39	8.99	104.38	3.04	1.74	19.24	3.69	21.01	22.79	523.32	0.27	0.75	4.44	1.62	0.03	6.85	10.96	64.82	23.69	0.38	7.34	2.00
A4904	38.056784	-121.659724	Central Delta tidal zone	False River	7/1/2020	7.18	0.26	22.75	543.94	8.35	8.92	103.64	3.08	1.79	19.17	3.71	20.93	22.82	521.72	0.26	0.83	4.41	1.63	0.02	6.89	11.97	64.07	23.61	0.29	7.31	2.00
A4898	38.057335	-121.670252	Central Delta tidal zone	False River	7/1/2020	7.22	0.24	22.66	564.51	8.33	8.84	102.48	3.22	1.82	19.16	3.72	20.94	22.71	546.09	0.28	0.86	4.52	1.67	0.01	7.08	12.09	63.86	23.58	0.14	7.48	2.01
A4929	38.057572	-121.623493	Central Delta tidal zone	False River	7/1/2020	5.56	0.23	22.70	503.03	8.29	8.63	100.11	3.04	1.65	19.52	3.39	21.33	22.80	484.90	0.24	0.75	4.02	1.42	0.01	6.20	12.03	65.05	22.73	0.14	5.46	2.03
A4396	38.058325	-121.582219	Central Delta tidal zone	Old River	7/1/2020	2.52	0.00	23.13	380.07	8.87	8.68	101.50	3.10	1.94	20.89	3.80	22.89	23.17	366.82	0.18	0.95	3.86	1.62	0.01	6.49	15.02	60.20	24.11	0.34	2.83	1.94
A4896	38.058624	-121.673573	Central Delta tidal zone	False River	7/1/2020	7.28	0.25	22.63	574.23	8.29	8.76	101.59	3.31	1.85	19.13	3.75	20.91	22.68	553.14	0.29	0.88	4.47	1.69	0.00	7.08	12.40	63.20	23.91	0.06	7.55	2.01
A4894	38.058636	-121.677506	Central Delta tidal zone	False River	7/1/2020	7.36	0.24	22.62	581.30	8.28	8.74	101.31	3.25	1.86	19.13	3.74	20.89	22.67	561.70	0.29	0.84	4.41	1.72	0.01	6.98	12.00	63.17	24.60	0.16	7.67	2.01
A3512	38.058134	-121.684871	Western Delta tidal zone	San Joaquin River	7/1/2020	7.84	0.22	22.54	603.48	8.25	8.71	100.88	3.88	1.96	19.02	3.88	20.66	22.62	583.14	0.30	0.84	4.40	1.84	0.02	7.10	11.72	62.11	25.84	0.31	7.72	2.01
A4931	38.060191	-121.621972	Central Delta tidal zone	False River	7/1/2020	5.41	0.19	22.64	487.24	8.27	8.45	97.94	3.53	1.66	19.57	3.47	21.36	22.72	471.56	0.24	0.79	4.10	1.41	0.01	6.31	12.56	65.15	22.23	0.09	5.43	2.03
A4941	38.060350	-121.606152	Central Delta tidal zone	False River	7/1/2020	5.84	0.00	23.25	325.94	8.56	8.92	104.58	4.08	3.04	19.87	5.75	21.62	23.29	329.53	0.16	1.18	4.47	3.24	0.00	8.91	13.22	50.74	35.85	0.00	4.06	2.01
A3649	38.059775	-121.557267	Central Delta tidal zone	San Joaquin River	7/1/2020	7.42	0.68	23.04	219.79	8.26	8.67	101.23	3.57	4.55	21.60	8.68	24.49	23.06	211.17	0.11	0.24	5.98	6.05	0.00	12.27	1.99	48.71	49.33	0.00	8.10	1.78
A4943	38.060752	-121.602400	Central Delta tidal zone	False River	7/1/2020	6.01	0.00	23.28	315.13	8.57	8.95	105.02	4.05	3.25	19.88	6.06	21.59	23.34	311.83	0.15	1.25	4.60	3.66	0.00	9.51	13.20	48.51	38.24	0.00	3.90	2.00
A3510	38.059623	-121.682003	Central Delta tidal zone	San Joaquin River	7/1/2020	7.56	0.23	22.59	591.32	8.27	8.73	101.16	3.48	1.92	19.07	3.79	20.74	22.65	573.33	0.29	0.81	4.41	1.77	0.02	7.01	11.55	63.04	25.15	0.29	7.70	2.01
A3652	38.059195	-121.551691	Central Delta tidal zone	San Joaquin River	7/1/2020	7.39	0.47	23.06	219.86	8.25	8.69	101.49	3.56	4.35	21.76	9.12	24.44	23.07	211.81	0.10	0.07	6.98	6.57	0.00	13.66	0.51	52.37	48.11	0.00	7.86	1.74
A4939	38.061312	-121.609621	Central Delta tidal zone	False River	7/1/2020	5.40	0.00	23.07	374.38	8.52	8.76	102.43	4.34	2.43	19.86	4.76	21.62	23.09	385.33	0.19	0.99	4.27	2.23	0.00	7.49	13.08	57.99	28.79	0.00	4.39	2.02
A4933	38.061984	-121.619516	Central Delta tidal zone	False River	7/1/2020	5.18	0.14	22.66	473.90	8.30	8.40	97.48	3.86	1.67	19.63	3.48	21.37	22.72	460.37	0.23	0.82	4.09	1.38	0.00	6.28	12.97	65.26	21.89	0.01	5.29	2.02
A4937	38.062292	-121.613021	Central Delta tidal zone	False River	7/1/2020	4.98	0.01	22.84	431.17	8.43	8.54	99.40	4.45	1.87	19.80	3.78	21.56	22.87	431.65	0.22	0.83	4.11	1.48	0.00	6.43	12.90	64.21	22.85	0.00	4.77	2.02
A4953	38.061938	-121.586075	Central Delta tidal zone	False River	7/1/2020	2.94	0.00	23.08	374.10	8.83	8.71	101.84	3.24	2.12	20.80	4.26	22.78	23.14	356.13	0.18	0.89	4.11	2.14	0.01	7.15	13.14	59.52	27.25	0.14	3.00	1.92
A3647	38.062744	-121.558103	Central Delta tidal zone	San Joaquin River	7/1/2020	7.43	0.63	23.04	219.98	8.26	8.65	101.01	3.57	4.44	21.71	8.50	24.51	23.05	211.26	0.11	0.17	5.84	5.82	0.00	11.84	1.42	49.27	49.19	0.00	8.06	1.78
A3654	38.059496	-121.548009	Central Delta tidal zone	San Joaquin River	7/1/2020	7.34	0.56	23.04	219.19	8.24	8.66	101.01	3.54	4.31	22.13	9.01	24.74	23.05	210.41	0.10	0.03	6.78	6.32	0.00	13.20	0.24	52.05	47.91	0.00	7.89	1.71
A4945	38.062520	-121.599420	Central Delta tidal zone	False River	7/1/2020	6.19	0.00	23.32	302.86	8.59	8.98	105.36	4.12	3.51	19.94	6.64	21.65	23.37	293.82	0.15	1.30	4.81	4.06	0.00	10.17	12.82	47.37	39.85	0.00	3.61	1.98
A4935	38.062835	-121.616459	Central Delta tidal zone	False River	7/1/2020	5.00	0.10	22.71	462.19	8.35	8.44	97.94	4.04	1.70	19.68	3.51	21.44	22.77	450.71	0.23	0.81	4.05	1.38	0.00	6.23	12.98	65.04	22.05	0.00	5.11	2.02
A4951	38.062998	-121.589429	Central Delta tidal zone	False River	7/1/2020	3.74	0.00	23.11	365.46	8.77	8.80	102.88	3.26	2.31	20.45	4.54	22.28	23.18	342.43	0.17	0.98	4.16	2.50	0.00	7.61	12.95	55.55	31.77	0.07	3.02	1.93
A4393	38.062316	-121.580831	Central Delta tidal zone	Old River	7/1/2020	2.79	0.00	23.07	365.14	8.83	8.68	101.41	3.29	2.43	21.06	4.84	23.19	23.12	350.18	0.18	0.85	4.25	2.67	0.00	7.80	12.77	58.93	27.95	0.17	3.19	1.90
A3507	38.063163	-121.680312	Central Delta tidal zone	San Joaquin River	7/1/2020	8.28	0.27	22.54	604.05	8.24	8.70	100.64	4.15	2.03	18.91	4.01	20.62	22.61	580.90	0.30	0.87	4.42	1.93	0.02	7.25	12.03	61.07	26.53	0.23	7.95	2.00
A4949	38.063448	-121.593045	Central Delta tidal zone	False River	7/1/2020	4.88	0.00	23.21	337.90	8.69	8.91	104.32	3.60	2.90	20.18	5.67	21.94	23.29	312.00	0.16	1.18	4.49	3.49	0.00	9.16	12.95	49.72	37.50	0.02	3.20	1.95
A4947	38.063989	-121.596593	Central Delta tidal zone	False River	7/1/2020	6.06	0.00	23.31	304.04	8.60	8.98	105.33	4.04	3.54	20.00	6.82	21.78	23.37	288.57	0.15	1.30	4.86	4.21	0.00	10.37	12.55	47.01	40.40	0.00	3.50	1.96
A3505	38.065887	-121.678863	Central Delta tidal zone	San Joaquin River	7/1/2020	8.62	0.34	22.53	615.48	8.23	8.69	100.53	4.26	2.06	18.84	4.17	20.54	22.60	590.26	0.30	0.97	4.44	2.02	0.01	7.47	12.99	59.53	26.97	0.07	8.27	1.99
A3667	38.061671	-121.532198	Central Delta tidal zone	San Joaquin River	7/1/2020	6.78	0.55	23.17	209.88	8.23	8.68	101.60	3.31	5.04	24.03	10.25	26.80	23.18	202.28	0.10	0.21	6.51	7.03	0.00	13.74	0.99	47.59	51.06	0.00	7.33	1.65
A3645	38.066198	-121.555924	Central Delta tidal zone	San Joaquin River	7/1/2020	7.55	0.63	23.03	219.00	8.27	8.67	101.21	3.51	4.31	21.80	8.39	24.48	23.04	210.70	0.10	0.11	6.07	5.61	0.00	11.80	0.97	51.45	47.57	0.00	8.22	1.76
A3662	38.064749	-121.540229	Central Delta tidal zone	San Joaquin River	7/1/2020	7.32	0.63	23.02	219.20	8.26	8.67	101.21	3.46	4.70	22.10	8.63	24.65	23.04	209.89	0.10	0.15	7.10	6.24	0.00	13.46	1.07	48.94	46.42	0.00	7.98	1.69
A3503	38.068811	-121.678891	Central Delta tidal zone	San Joaquin River	7/1/2020	8.66	0.37	22.52	623.62	8.23	8.69	100.56	4.21	2.05	18.83	4.19	20.51	22.60	598.35	0.31	1.00	4.41	2.02	0.01	7.47	13.35	59.00	27.07	0.07	8.48	1.98
A3643	38.068857	-121.557706	Central Delta tidal zone	San Joaquin River	7/1/2020	7.46	0.65	23.01	218.60	8.30	8.72	101.72	3.49	4.70	21.63	8.91	24.31	23.02	210.14	0.10	0.19	5.96	6.00	0.00	12.18	1.59	49.40	48.81	0.00	8.27	1.76
A3501	38.071688	-121.679491	Central Delta tidal zone	San Joaquin River	7/1/2020	8.56	0.41	22.52	630.70	8.23	8.70	100.59	4.11	2.04	18.84	4.15	20.46	22.60	605.13	0.31	0.99	4.36	2.00	0.01	7.40	13.44	58.87	27.11	0.09	8.72	1.97
A3641	38.071264	-121.559836	Central Delta tidal zone	San Joaquin River	7/1/2020	7.41	0.70	22.98	219.48	8.32	8.75	102.04	3.53	5.16	21.34	9.61	23.95	22.99	209.89	0.10	0.26	5.92	6.81	0.00	13.02	2.07	46.04	51.67	0.00	8.37	1.76
A3499	38.074572	-121.680018	Central Delta tidal zone	San Joaquin River	7/1/2020	8.51	0.51	22.52	634.07	8.24	8.69	100.54	3.95	2.02	18.87	4.06	20.53	22.60	600.57	0.31	0.90	4.60	2.05	0.02	7.60	11.97	60.38	26.94	0.20	9.25	1.95
A3639	38.072233	-121.563446	Central Delta tidal zone	San Joaquin River	7/1/2020	7.47	0.64	22.94	226.20	8.33	8.71	101.43	3.56	5.02	21.07	9.32	23.60	22.95	214.44	0.10	0.20	5.78	6.99	0.00	12.97	1.67	44.99	53.31	0.00	8.29	1.77
A3637	38.073087	-121.567128	Central Delta tidal zone	Old River	7/1/2020	7.40	0.17	22.95	233.64	8.34	8.68	101.13	3.51	4.30	21.13	8.14	23.63	22.95	223.92	0.11	0.13	5.74	5.84	0.00	11.72	1.22	49.72	49.05	0.01	7.48	1.78
A3635	38.076122	-121.568789	Central Delta tidal zone	San Joaquin River	7/1/2020	7.55	0.42	22.97	224.54	8.34	8.76	102.05	3.47	4.54	20.99	8.54	23.51	22.98	218.50	0.10	0.21	5.94	5.82	0.00	11.99	2.11	49.96	47.77	0.00	8.10	1.77
A3497	38.077325	-121.680408	Central Delta tidal zone	San Joaquin River	7/1/2020	8.47	0.51	22.53	619.35	8.24	8.68	100.41	3.86	2.05	18.90	4.10	20.57	22.62	582.64	0.30	0.87	4.81	2.11	0.03	7.84	11.17	61.17	26.88	0.32	9.45	1.94
