CL ID	"Latitude (Decimal Degrees, NAD83)"	"Longitude (Decimal Degrees, NAD83)"	Regions	Location	"Time Period (Month, Year)"	NO3 (uM) (SUNA) SA	NH4 (uM) (Tline) SA	Temp (deg. C) (EXO) SA	Sp Cond (uS/cm) (EXO) SA	pH (EXO) SA	DO (mg/L) (EXO) SA	DO (%sat) (EXO) SA	Turb (FNU) (EXO) SA	fCHL (ug/L) (EXO) SA	fDOM (QSU) (EXO) SA	fCHL (ug/L) (WS) SA	fDOM (QSU) (WS) SA	Temp (deg. C) (TSG) SA	Cond (uS/cm) (TSG) SA	Salinity (PSU) (TSG) SA	Bluegreen (ug/L) (FP) SA	Diatoms (ug/L) (FP) SA	Cryptophyta (ug/L) (FP) SA	Total Conc (ug/L) (FP) SA	Bluegreen (%) (FP) SA	Diatoms (%) (FP) SA	Cryptophyta (%) (FP) SA	estDIN (uM) SA	estDOC (mg-C/L) SA	Orthophosphate (uM) SA
A2546	38.204958	-121.657843	Western Delta tidal zone	Cache Slough	10/1/2020	13.75	5.17	19.88	156.12	7.82	9.52	104.50	3.36	1.66	12.43	2.38	19.02	19.87	141.18	0.07	1.86	0.65	1.00	3.69	49.91	18.19	26.72	18.93	1.32	2.71
A3151	38.206083	-121.508821	Mokelumne tidal transition zone	North Mokelumne River	10/1/2020	13.34	11.30	19.26	133.54	7.55	8.13	87.99	1.80	0.90	15.36	1.71	16.11	19.27	118.53	0.05	0.97	0.76	0.00	1.84	48.39	41.42	0.02	24.69	1.49	2.07
A581	38.206336	-121.557682	North Delta tidal transition zone	Sacramento River	10/1/2020	9.79	14.37	19.89	137.63	7.71	12.11	132.94	1.13	0.74	9.17	1.42	14.09	19.90	124.93	0.07	0.29	0.62	0.33	1.36	21.42	45.11	25.07	24.17	1.14	2.52
A3251	38.206782	-121.481770	Mokelumne tidal transition zone	South Mokelumne River	10/1/2020	12.65	6.67	19.46	118.71	7.58	8.41	91.58	2.14	1.22	15.75	2.24	15.93	19.47	105.78	0.06	1.03	0.85	0.03	2.68	37.32	31.22	1.03	19.31	1.51	1.78
A3249	38.207772	-121.484986	Mokelumne tidal transition zone	South Mokelumne River	10/1/2020	12.53	6.64	19.45	119.70	7.59	8.50	92.49	2.21	1.15	15.73	2.10	15.96	19.47	106.70	0.06	1.03	0.82	0.03	2.55	38.74	32.05	1.12	19.16	1.51	1.69
A3008	38.208536	-121.540875	North Delta tidal transition zone	Georgiana Slough	10/1/2020	4.50	8.76	19.36	130.09	7.76	8.58	93.20	1.58	0.78	13.21	1.49	13.46	19.39	116.08	0.06	0.76	0.79	0.00	1.96	30.82	40.61	0.00	13.26	1.37	1.83
A2544	38.207541	-121.659329	Western Delta tidal zone	Cache Slough	10/1/2020	13.64	5.10	19.86	155.88	7.81	9.80	107.54	3.30	1.85	12.24	2.44	19.26	19.86	140.98	0.07	1.88	0.70	1.00	3.75	49.68	19.01	26.41	18.74	1.31	2.74
A3247	38.208751	-121.488269	Mokelumne tidal transition zone	South Mokelumne River	10/1/2020	12.30	6.65	19.43	119.73	7.60	8.59	93.42	2.25	1.11	15.74	2.05	15.88	19.45	107.11	0.06	1.04	0.83	0.02	2.47	39.30	33.55	0.74	18.97	1.51	1.66
A3149	38.208886	-121.508166	Mokelumne tidal transition zone	North Mokelumne River	10/1/2020	13.19	10.98	19.27	132.15	7.55	8.16	88.45	1.80	0.91	15.33	1.73	16.06	19.28	117.25	0.05	0.99	0.78	0.00	1.92	36.76	40.60	0.10	24.32	1.49	2.01
A579	38.209264	-121.557609	North Delta tidal transition zone	Sacramento River	10/1/2020	9.61	14.01	19.90	137.19	7.71	12.13	133.27	1.12	0.74	9.04	1.40	14.02	19.92	124.58	0.07	0.30	0.63	0.33	1.36	21.43	45.51	24.70	23.62	1.13	2.48
