CL ID	"Latitude (Decimal Degrees, NAD83)"	"Longitude (Decimal Degrees, NAD83)"	Region	Location	"Time Period (Month, Year)"	NO3 (uM) (SUNA) SA	NH4 (uM) (Tline) SA	Water Temp (deg. C) (EXO) SA	Sp Cond (uS/cm) (EXO) SA	pH (EXO) SA	DO (mg/L) (EXO) SA	DO (%sat) (EXO) SA	Turb (FNU) (EXO) SA	fCHL (ug/L) (EXO) SA	fDOM (QSU) (EXO) SA	fCHL (ug/L) (WS) SA	Water Temp (deg. C) (TSG) SA	Cond (uS/cm) (TSG) SA	Salinity (PSU) (TSG) SA	Green Algae (ug/L) (FP) SA	Bluegreen (ug/L) (FP) SA	Diatoms (ug/L) (FP) SA	Cryptophyta (ug/L) (FP) SA	Total Conc (ug/L) (FP) SA	Green Algae (%) (FP) SA	Bluegreen (%) (FP) SA	Diatoms (%) (FP) SA	Cryptophyta (%) (FP) SA	estDIN (uM) SA	estDOC (mg-C/L) SA	estDON (uM) SA	estTDN (uM) SA	Orthophosphate (uM) SA
A4775	38.05019	-121.46532	Central Delta Tidal Transition Zone	Disappointment Slough	May-2022	25.53	0.89	20.49	371.96	7.96	8.45	93.88	2.16	2.94	48.45	3.59	20.51	346.2	0.18	0.32	1.23	1.05	0.00	2.59	12.23	47.58	40.99	0.11	26.42	4.23	22.98	49.41	3.00
A4780	38.05154	-121.46013	Central Delta Tidal Transition Zone	Disappointment Slough	May-2022	23.55	0.76	20.68	373.75	7.99	8.56	95.49	2.05	3.06	48.49	3.75	20.69	349.0	0.18	0.37	1.27	1.19	0.01	2.86	12.90	44.77	41.70	0.28	23.25	4.23	23.00	46.33	3.04
A4974	38.05264	-121.51919	Central Delta Tidal Transition Zone	Three River Reach	May-2022	18.94	0.76	19.56	288.55	8.08	9.03	98.48	4.36	3.18	35.52	3.83	19.56	263.5	0.14	0.44	1.66	1.34	0.00	3.46	12.56	47.12	39.77	0.00	19.77	3.27	17.81	37.59	1.73
A4778	38.05385	-121.45999	Central Delta Tidal Transition Zone	Disappointment Slough	May-2022	23.05	0.77	20.67	372.05	8.00	8.53	95.16	2.11	3.14	48.60	3.89	20.66	347.3	0.18	0.34	1.27	1.39	0.01	3.02	12.03	44.93	42.62	0.18	22.83	4.24	23.04	45.91	2.92
A4955	38.05502	-121.53476	Central Delta Tidal Transition Zone	Mandeville Reach	May-2022	18.43	0.92	19.61	288.43	8.07	9.01	98.44	4.34	3.01	34.90	3.67	19.63	263.4	0.14	0.75	1.59	1.32	0.00	3.71	20.26	42.96	35.61	0.00	19.35	3.22	17.56	36.91	1.58
A3657	38.05696	-121.54306	Central Delta Tidal Transition Zone	San Joaquin River	May-2022	14.27	0.67	19.23	275.47	8.05	9.11	98.68	6.36	3.03	31.75	3.68	19.23	249.5	0.14	0.78	1.67	1.23	0.00	3.67	21.21	45.62	33.64	0.00	14.94	2.99	16.30	31.24	1.47
A3650	38.05901	-121.55554	Central Delta Tidal Transition Zone	San Joaquin River	May-2022	13.26	0.41	19.05	272.22	8.03	9.40	101.54	9.99	3.11	29.07	3.76	19.04	245.8	0.13	0.75	1.76	1.28	0.00	3.80	19.71	46.44	33.62	0.00	13.67	2.79	15.23	28.90	1.34
A3509	38.05988	-121.67983	Central Delta Tidal Transition Zone	San Joaquin River	May-2022	14.11	0.21	18.80	386.58	8.02	9.07	97.42	12.11	3.06	29.73	3.63	18.83	349.9	0.19	0.91	1.61	1.38	0.01	3.87	23.65	41.40	35.53	0.44	14.39	2.84	15.49	29.09	1.53
A4394	38.06127	-121.58218	Central Delta Tidal Transition Zone	Old River	May-2022	8.37	0.83	20.38	289.83	8.03	8.90	98.65	5.60	3.53	33.32	4.52	20.46	269.9	0.14	2.33	1.54	1.51	0.00	5.40	42.77	29.03	27.84	0.02	9.23	3.11	16.93	26.16	1.47
A4216	38.07190	-121.50369	Central Delta Tidal Transition Zone	Little Potato Slough	May-2022	2.13	0.25	20.01	180.45	8.62	10.36	114.01	4.16	14.56	28.61	17.84	20.07	169.7	0.09	1.05	1.33	18.68	0.00	21.05	5.07	6.59	88.41	0.00	2.39	2.76	15.05	17.43	1.31
A3493	38.08268	-121.68143	Central Delta Tidal Transition Zone	San Joaquin River	May-2022	14.20	0.25	18.71	485.28	8.02	9.25	99.12	13.54	3.08	26.45	3.57	18.72	432.7	0.24	0.71	1.70	1.43	0.00	3.85	18.20	44.20	37.24	0.02	16.42	2.60	14.18	28.21	1.49
A3490	38.08683	-121.67998	Central Delta Tidal Transition Zone	San Joaquin River	May-2022	15.14	0.55	18.61	626.93	8.01	9.36	100.25	14.95	3.11	25.26	3.59	18.60	555.2	0.31	0.57	1.76	1.43	0.00	3.77	15.11	46.72	37.98	0.03	16.21	2.51	13.70	29.43	1.52
A3462	38.08771	-121.63653	Central Delta Tidal Transition Zone	San Joaquin River	May-2022	15.24	0.28	18.65	583.12	8.03	9.12	97.74	12.52	3.20	28.14	3.81	18.66	514.7	0.29	0.74	1.80	1.51	0.00	4.07	16.66	45.11	38.04	0.00	15.83	2.72	14.86	30.64	1.74
A4268	38.09200	-121.49330	Central Delta Tidal Transition Zone	White Slough	May-2022	3.01	0.26	20.21	161.85	8.51	10.10	111.59	4.89	24.11	23.51	31.71	20.27	150.2	0.08	1.19	1.88	36.73	0.00	40.25	2.85	5.03	91.32	0.00	3.34	2.38	13.01	17.13	0.96
A3621	38.09461	-121.57951	Central Delta Tidal Transition Zone	San Joaquin River	May-2022	12.39	0.26	18.97	333.63	8.05	9.09	98.01	10.13	3.50	30.41	4.28	19.00	297.2	0.16	0.67	1.88	1.41	0.00	3.96	16.20	47.87	35.93	0.00	12.66	2.89	15.76	28.43	1.42
A3761	38.00095	-121.45085	Central Delta Tidal Transition Zone	San Joaquin River	May-2022	73.69	0.65	20.05	433.03	7.99	8.83	97.31	4.07	3.21	43.12	3.85	20.03	399.6	0.21	0.22	1.73	1.23	0.06	3.21	6.80	36.64	38.44	1.75	74.28	3.83	20.85	95.13	3.73
A5009	38.00210	-121.51185	Central Delta Tidal Transition Zone	Middle River	May-2022	16.26	0.34	20.15	296.36	8.06	8.98	99.15	3.44	2.94	37.35	4.04	20.24	274.1	0.15	1.11	1.57	1.31	0.00	4.00	27.59	39.46	32.74	0.00	16.57	3.40	18.54	34.27	1.80
A3759	38.00396	-121.45175	Central Delta Tidal Transition Zone	San Joaquin River	May-2022	70.67	0.59	20.06	426.34	7.99	8.80	97.14	3.40	3.22	42.89	3.84	20.04	393.2	0.21	0.23	1.72	1.24	0.08	3.25	6.97	50.73	38.25	2.28	71.26	3.81	20.75	92.02	3.65
