CL ID	"Latitude (Decimal Degrees, NAD83)"	"Longitude (Decimal Degrees, NAD83)"	Region	Location	"Time Period (Month, Year)"	NO3 (uM) (SUNA) SA raw	Water Temp (deg. C) (EXO) SA	Sp Cond (uS/cm) (EXO) SA	pH (EXO) SA	DO (mg/L) (EXO) SA	DO (%sat) (EXO) SA	Turb (FNU) (EXO) SA	fCHL (ug/L) (EXO) SA	fDOM (QSU) (EXO) SA	fCHL (ug/L) (WS) SA	fDOM (QSU) (WS) SA	Water Temp (deg. C) (TSG) SA	Cond (uS/cm) (TSG) SA	Salinity (PSU) (TSG) SA	Green Algae (ug/L) (FP) SA	Bluegreen (ug/L) (FP) SA	Diatoms (ug/L) (FP) SA	Cryptophyta (ug/L) (FP) SA	Total Conc (ug/L) (FP) SA	Green Algae (%) (FP) SA	Bluegreen (%) (FP) SA	Diatoms (%) (FP) SA	Cryptophyta (%) (FP) SA
A3442	38.10471	-121.60985	Central Delta Tidal Transition Zone	San Joaquin River	May-2024	16.70	17.30	194.03	7.69	10.00	104.17	9.02	1.89	26.36	3.02	29.94	17.29	166.8	0.09	0.67	3.29	1.32	0.17	5.43	12.40	60.49	24.20	2.91
A3438	38.10460	-121.60221	Central Delta Tidal Transition Zone	San Joaquin River	May-2024	16.57	17.29	193.96	7.68	10.00	104.16	8.56	1.85	26.37	2.96	29.84	17.28	166.0	0.09	0.66	3.23	1.26	0.18	5.31	12.49	60.86	23.51	3.14
A4183	38.10798	-121.50013	Mokelumne Tidal Transition Zone	Little Potato Slough	May-2024	11.38	17.15	114.57	7.55	10.14	105.24	7.54	1.00	20.45	1.71	22.66	17.15	98.3	0.06	0.02	1.84	0.01	0.77	2.66	0.62	69.87	0.25	29.21
A3956	38.10775	-121.69372	Western Delta Tidal Transition Zone	Threemile Slough	May-2024	13.33	17.05	164.97	7.64	9.85	102.06	8.48	1.64	21.79	2.61	23.81	17.03	139.6	0.08	0.80	2.54	0.74	0.73	4.81	14.19	55.57	15.06	15.30
A3408	38.10729	-121.57077	Mokelumne Tidal Transition Zone	Mokelumne River	May-2024	13.37	16.28	128.32	7.54	10.49	107.02	8.90	0.98	17.51	1.66	19.18	16.24	106.5	0.06	0.08	2.86	0.29	0.35	3.61	1.91	80.16	7.21	9.91
A3440	38.10541	-121.60602	Central Delta Tidal Transition Zone	San Joaquin River	May-2024	16.64	17.30	194.61	7.68	9.99	104.02	8.77	1.86	26.42	2.99	29.96	17.28	166.9	0.09	0.67	3.26	1.28	0.18	5.35	12.52	60.62	23.64	3.21
A1035	38.10085	-122.05415	Suisun Bay	Suisun Bay	May-2024	23.36	16.93	1216.65	7.79	9.84	101.94	73.74	5.51	47.64	7.92	68.50	16.93	1030.5	0.61	4.89	8.22	5.45	0.00	18.57	26.73	43.91	29.27	0.00
A3406	38.10841	-121.57414	Mokelumne Tidal Transition Zone	Mokelumne River	May-2024	13.07	16.29	123.84	7.57	10.66	108.68	8.95	0.93	16.68	1.59	18.23	16.27	103.8	0.06	0.07	2.77	0.18	0.49	3.53	1.76	78.79	4.59	14.15
A716	38.10667	-121.71432	Western Delta Tidal Transition Zone	Sacramento River	May-2024	14.31	16.38	145.79	7.63	9.66	98.69	10.65	1.08	17.07	1.70	19.21	16.36	123.1	0.04	0.01	2.89	0.62	0.28	3.84	0.28	76.27	16.15	7.11
A3944	38.10932	-121.68357	Western Delta Tidal Transition Zone	Threemile Slough	May-2024	14.10	17.53	187.06	7.69	9.98	104.40	8.54	2.01	26.50	3.26	29.28	17.56	162.4	0.09	1.13	2.73	1.32	0.60	5.72	18.57	47.88	22.36	11.29
